Season,Game #,Date,Age,Team,Opp,Score diff,Played?,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5,59,2/29/08,23-061,CLE,MIN,W (+8),1,43:35:00,11,22,0.5,1,4,0.25,7,9,0.778,2,6,8,13,2,0,3,2,30,28.7,12
5,60,3/2/08,23-063,CLE,CHI,W (+9),1,39:51:00,15,29,0.517,0,5,0,7,8,0.875,3,3,6,6,1,0,3,1,37,27.1,21
5,61,3/5/08,23-066,CLE,NYK,W (+14),1,43:50:00,16,30,0.533,7,13,0.538,11,16,0.688,1,7,8,10,4,0,2,3,50,44,11
5,62,3/6/08,23-067,CLE,CHI,L (-11),1,37:55:00,13,27,0.481,2,8,0.25,11,12,0.917,0,3,3,1,1,3,4,1,39,25.2,-21
5,63,3/8/08,23-069,CLE,IND,W (+8),1,38:13:00,11,24,0.458,5,8,0.625,11,12,0.917,4,7,11,4,1,2,2,2,38,32.5,15
5,64,3/10/08,23-071,CLE,POR,W (+8),1,43:41:00,7,18,0.389,1,4,0.25,9,13,0.692,1,9,10,11,1,2,4,0,24,22.1,10
5,65,3/12/08,23-073,CLE,NJN,L (-5),1,45:41:00,12,23,0.522,2,7,0.286,16,23,0.696,3,8,11,7,1,2,6,5,42,31.7,-4
5,66,3/13/08,23-074,CLE,WAS,L (-2),1,43:23:00,9,22,0.409,1,7,0.143,6,8,0.75,2,5,7,7,0,0,7,4,25,11.6,3
5,67,3/16/08,23-077,CLE,CHA,W (+7),1,41:40:00,11,24,0.458,1,3,0.333,10,16,0.625,2,5,7,10,1,2,1,2,33,28.7,17
5,68,3/17/08,23-078,CLE,ORL,L (-14),1,42:14:00,11,22,0.5,1,4,0.25,7,11,0.636,2,7,9,6,0,1,3,1,30,22.4,-7
5,69,3/19/08,23-080,CLE,DET,W (+16),1,41:04:00,11,19,0.579,2,5,0.4,6,7,0.857,3,4,7,6,1,1,0,0,30,29.9,15
5,70,3/21/08,23-082,CLE,TOR,W (+7),1,41:24:00,14,22,0.636,1,3,0.333,0,0,0,0,12,12,5,1,0,5,1,29,21.9,-3
5,71,3/22/08,23-083,CLE,MIL,L (-10),1,38:35:00,9,25,0.36,3,9,0.333,8,10,0.8,4,7,11,4,2,0,4,3,29,18.8,-12
5,72,3/26/08,23-087,CLE,NOH,L (-1),1,40:33:00,6,14,0.429,1,2,0.5,8,10,0.8,0,3,3,8,2,2,2,2,21,19.9,-3
5,73,3/29/08,23-090,CLE,DET,L (-14),1,35:18:00,4,17,0.235,1,5,0.2,4,6,0.667,0,4,4,5,0,0,5,0,13,1.6,-19
